date,stock_id,market_value
2019-04-11,1470,1843990500.0
2019-04-12,1470,1843990500.0
2019-04-15,1470,1835413800.0
2019-04-16,1470,1835413800.0
2019-04-17,1470,1886874000.0
2019-04-18,1470,1861143900.0
2019-04-19,1470,1818260400.0
2019-04-22,1470,0.0
2019-04-23,1470,0.0
2019-04-24,1470,0.0
2019-04-25,1470,0.0
2019-04-26,1470,1818260400.0
2019-04-29,1470,0.0
2019-04-30,1470,1886874000.0
2019-05-02,1470,1878297300.0
2019-05-03,1470,0.0
2019-05-06,1470,0.0
2019-05-07,1470,1886874000.0
2019-05-08,1470,1805395350.0
2019-05-09,1470,1826837100.0
2019-05-10,1470,0.0
2019-05-13,1470,1861143900.0
2019-05-14,1470,0.0
2019-05-15,1470,1886874000.0
2019-05-16,1470,0.0
2019-05-17,1470,1904027400.0
2019-05-20,1470,1843990500.0
2019-05-21,1470,1899739050.0
2019-05-22,1470,1921180800.0
2019-05-23,1470,0.0
2019-05-24,1470,1912604100.0
2019-05-27,1470,1912604100.0
2019-05-28,1470,0.0
2019-05-29,1470,0.0
2019-05-30,1470,1921180800.0
2019-05-31,1470,1929757500.0
2019-06-03,1470,0.0
2019-06-04,1470,1951199250.0
2019-06-05,1470,1916892450.0
2019-06-06,1470,1929757500.0
2019-06-10,1470,0.0
2019-06-11,1470,1938334200.0
2019-06-12,1470,0.0
2019-06-13,1470,0.0
2019-06-14,1470,0.0
2019-06-17,1470,0.0
2019-06-18,1470,0.0
2019-06-19,1470,1929757500.0
2019-06-20,1470,1955487600.0
2019-06-21,1470,1929757500.0
2019-06-24,1470,1929757500.0
2019-06-25,1470,1929757500.0
2019-06-26,1470,0.0
2019-06-27,1470,1929757500.0
2019-06-28,1470,0.0
2019-07-01,1470,0.0
2019-07-02,1470,1886874000.0
2019-07-03,1470,1904027400.0
2019-07-04,1470,1891162350.0
2019-07-05,1470,0.0
2019-07-08,1470,0.0
2019-07-09,1470,0.0
2019-07-10,1470,0.0
2019-07-11,1470,0.0
2019-07-12,1470,0.0
2019-07-15,1470,0.0
2019-07-16,1470,0.0
2019-07-17,1470,1972641000.0
2019-07-18,1470,1886874000.0
2019-07-19,1470,0.0
2019-07-22,1470,0.0
2019-07-23,1470,1809683700.0
2019-07-24,1470,1796818650.0
2019-07-25,1470,1818260400.0
2019-07-26,1470,0.0
2019-07-29,1470,0.0
2019-07-30,1470,1938334200.0
2019-07-31,1470,1942622550.0
2019-08-01,1470,1904027400.0
2019-08-02,1470,1938334200.0
2019-08-05,1470,1861143900.0
2019-08-06,1470,1886874000.0
2019-08-07,1470,1899739050.0
2019-08-08,1470,0.0
2019-08-12,1470,1882585650.0
2019-08-13,1470,1826837100.0
2019-08-14,1470,1848278850.0
2019-08-15,1470,1899739050.0
2019-08-16,1470,1895450700.0
2019-08-19,1470,1831125450.0
2019-08-20,1470,0.0
2019-08-21,1470,1895450700.0
2019-08-22,1470,1886874000.0
2019-08-23,1470,0.0
2019-08-26,1470,1843990500.0
2019-08-27,1470,0.0
2019-08-28,1470,1955487600.0
2019-08-29,1470,1852567200.0
2019-08-30,1470,1942622550.0
2019-09-02,1470,0.0
2019-09-03,1470,2002659450.0
2019-09-04,1470,0.0
2019-09-05,1470,1994082750.0
2019-09-06,1470,1874008950.0
2019-09-09,1470,1861143900.0
2019-09-10,1470,1822548750.0
2019-09-11,1470,1869720600.0
2019-09-12,1470,1856855550.0
2019-09-16,1470,1796818650.0
2019-09-17,1470,1899739050.0
2019-09-18,1470,1891162350.0
2019-09-19,1470,1882585650.0
2019-09-20,1470,1899739050.0
2019-09-23,1470,1886874000.0
2019-09-24,1470,1852567200.0
2019-09-25,1470,0.0
2019-09-26,1470,1899739050.0
2019-09-27,1470,1818260400.0
2019-10-01,1470,1843990500.0
2019-10-02,1470,0.0
2019-10-03,1470,0.0
2019-10-04,1470,1788241950.0
2019-10-07,1470,1796818650.0
2019-10-08,1470,1831125450.0
2019-10-09,1470,0.0
2019-10-14,1470,1843990500.0
2019-10-15,1470,0.0
2019-10-16,1470,1891162350.0
2019-10-17,1470,0.0
2019-10-18,1470,1852567200.0
2019-10-21,1470,1852567200.0
2019-10-22,1470,0.0
2019-10-23,1470,1809683700.0
2019-10-24,1470,0.0
2019-10-25,1470,1882585650.0
2019-10-28,1470,1852567200.0
2019-10-29,1470,1852567200.0
2019-10-30,1470,1882585650.0
2019-10-31,1470,1835413800.0
2019-11-01,1470,0.0
2019-11-04,1470,1852567200.0
2019-11-05,1470,1852567200.0
2019-11-06,1470,1886874000.0
2019-11-07,1470,1861143900.0
2019-11-08,1470,1848278850.0
2019-11-11,1470,0.0
2019-11-12,1470,0.0
2019-11-13,1470,1801107000.0
2019-11-14,1470,1792530300.0
2019-11-15,1470,1826837100.0
2019-11-18,1470,0.0
2019-11-19,1470,0.0
2019-11-20,1470,1852567200.0
2019-11-21,1470,1908315750.0
2019-11-22,1470,1972641000.0
2019-11-25,1470,1831125450.0
2019-11-26,1470,0.0
2019-11-27,1470,1796818650.0
2019-11-28,1470,0.0
2019-11-29,1470,1685321550.0
2019-12-02,1470,1689609900.0
2019-12-03,1470,1741070100.0
2019-12-04,1470,0.0
2019-12-05,1470,1723916700.0
2019-12-06,1470,0.0
2019-12-09,1470,0.0
2019-12-10,1470,1723916700.0
2019-12-11,1470,1723916700.0
2019-12-12,1470,1758223500.0
2019-12-13,1470,1826837100.0
2019-12-16,1470,1886874000.0
2019-12-17,1470,1843990500.0
2019-12-18,1470,1929757500.0
2019-12-19,1470,1955487600.0
2019-12-20,1470,1912604100.0
2019-12-23,1470,1852567200.0
2019-12-24,1470,1869720600.0
2019-12-25,1470,1839702150.0
2019-12-26,1470,1843990500.0
2019-12-27,1470,1848278850.0
2019-12-30,1470,1843990500.0
2019-12-31,1470,1783953600.0
2020-01-02,1470,1783953600.0
2020-01-03,1470,1783953600.0
2020-01-06,1470,1809683700.0
2020-01-07,1470,1809683700.0
2020-01-08,1470,1878297300.0
2020-01-09,1470,1895450700.0
2020-01-10,1470,1955487600.0
2020-01-13,1470,2002659450.0
2020-01-14,1470,1886874000.0
2020-01-15,1470,0.0
2020-01-16,1470,1904027400.0
2020-01-17,1470,1904027400.0
2020-01-20,1470,1856855550.0
2020-01-30,1470,1801107000.0
2020-01-31,1470,1886874000.0
2020-02-03,1470,0.0
2020-02-04,1470,1805395350.0
2020-02-05,1470,0.0
2020-02-06,1470,0.0
2020-02-07,1470,1753935150.0
2020-02-10,1470,0.0
2020-02-11,1470,1762511850.0
2020-02-12,1470,1801107000.0
2020-02-13,1470,1801107000.0
2020-02-14,1470,1758223500.0
2020-02-17,1470,1796818650.0
2020-02-18,1470,0.0
2020-02-19,1470,0.0
2020-02-20,1470,1818260400.0
2020-02-21,1470,1775376900.0
2020-02-24,1470,0.0
2020-02-25,1470,0.0
2020-02-26,1470,0.0
2020-02-27,1470,0.0
2020-03-02,1470,0.0
2020-03-03,1470,1753935150.0
2020-03-04,1470,1762511850.0
2020-03-05,1470,1788241950.0
2020-03-06,1470,1745358450.0
2020-03-09,1470,1715340000.0
2020-03-10,1470,1689609900.0
2020-03-11,1470,1715340000.0
2020-03-12,1470,1646726400.0
2020-03-13,1470,1569536100.0
2020-03-16,1470,1569536100.0
2020-03-17,1470,1629573000.0
2020-03-18,1470,1505210850.0
2020-03-19,1470,1462327350.0
2020-03-20,1470,1608131250.0
2020-03-23,1470,0.0
2020-03-24,1470,1646726400.0
2020-03-25,1470,1663879800.0
2020-03-26,1470,1689609900.0
2020-03-27,1470,1715340000.0
2020-03-30,1470,0.0
2020-03-31,1470,0.0
2020-04-01,1470,0.0
2020-04-06,1470,1578112800.0
2020-04-07,1470,1702474950.0
2020-04-08,1470,0.0
2020-04-09,1470,1702474950.0
2020-04-10,1470,1775376900.0
2020-04-13,1470,1685321550.0
2020-04-14,1470,1685321550.0
2020-04-15,1470,1796818650.0
2020-04-16,1470,0.0
2020-04-17,1470,1689609900.0
2020-04-20,1470,0.0
2020-04-21,1470,1655303100.0
2020-04-22,1470,0.0
2020-04-23,1470,1638149700.0
2020-04-24,1470,1693898250.0
2020-04-27,1470,1646726400.0
2020-04-28,1470,0.0
2020-04-29,1470,1655303100.0
2020-04-30,1470,1672456500.0
2020-05-04,1470,0.0
2020-05-05,1470,0.0
2020-05-06,1470,1629573000.0
2020-05-07,1470,1651014750.0
2020-05-08,1470,0.0
2020-05-11,1470,1646726400.0
2020-05-12,1470,1633861350.0
2020-05-13,1470,0.0
2020-05-14,1470,0.0
2020-05-15,1470,0.0
2020-05-18,1470,0.0
2020-05-19,1470,1629573000.0
2020-05-20,1470,1693898250.0
2020-05-21,1470,0.0
2020-05-22,1470,0.0
2020-05-25,1470,0.0
2020-05-26,1470,1629573000.0
2020-05-27,1470,1612419600.0
2020-05-28,1470,1603842900.0
2020-05-29,1470,1565247750.0
2020-06-01,1470,1569536100.0
2020-06-02,1470,1573824450.0
2020-06-03,1470,1608131250.0
2020-06-04,1470,1723916700.0
2020-06-05,1470,1633861350.0
2020-06-08,1470,1638149700.0
2020-06-09,1470,1659591450.0
2020-06-10,1470,1629573000.0
2020-06-12,1470,1603842900.0
2020-06-15,1470,1595266200.0
2020-06-16,1470,1651014750.0
2020-06-17,1470,1616707950.0
2020-06-18,1470,1616707950.0
2020-06-19,1470,1676744850.0
2020-06-22,1470,1638149700.0
2020-06-23,1470,1629573000.0
2020-06-24,1470,0.0
2020-06-29,1470,1629573000.0
2020-06-30,1470,1646726400.0
2020-07-01,1470,0.0
2020-07-02,1470,1646726400.0
2020-07-03,1470,0.0
2020-07-06,1470,1620996300.0
2020-07-07,1470,1620996300.0
2020-07-08,1470,1603842900.0
2020-07-09,1470,0.0
2020-07-10,1470,1608131250.0
2020-07-13,1470,1569536100.0
2020-07-14,1470,1578112800.0
2020-07-15,1470,1642438050.0
2020-07-16,1470,1642438050.0
2020-07-17,1470,1590977850.0
2020-07-20,1470,0.0
2020-07-21,1470,1620996300.0
2020-07-22,1470,1646726400.0
2020-07-23,1470,1663879800.0
2020-07-24,1470,1702474950.0
2020-07-27,1470,1642438050.0
2020-07-28,1470,1642438050.0
2020-07-29,1470,1642438050.0
2020-07-30,1470,1569536100.0
2020-07-31,1470,1560959400.0
2020-08-03,1470,1543806000.0
2020-08-04,1470,1556671050.0
2020-08-05,1470,1556671050.0
2020-08-06,1470,1535229300.0
2020-08-07,1470,1526652600.0
2020-08-10,1470,1526652600.0
2020-08-11,1470,0.0
2020-08-12,1470,1526652600.0
2020-08-13,1470,1548094350.0
2020-08-14,1470,0.0
2020-08-17,1470,1578112800.0
2020-08-18,1470,1595266200.0
2020-08-19,1470,1586689500.0
2020-08-20,1470,1530940950.0
2020-08-21,1470,1526652600.0
2020-08-24,1470,1530940950.0
2020-08-25,1470,1543806000.0
2020-08-26,1470,0.0
2020-08-27,1470,0.0
2020-08-28,1470,1565247750.0
2020-08-31,1470,1530940950.0
2020-09-01,1470,1522364250.0
2020-09-02,1470,0.0
2020-09-03,1470,1535229300.0
2020-09-04,1470,1543806000.0
2020-09-07,1470,1543806000.0
2020-09-08,1470,0.0
2020-09-09,1470,1599554550.0
2020-09-10,1470,1595266200.0
2020-09-11,1470,1595266200.0
2020-09-14,1470,1608131250.0
2020-09-15,1470,1569536100.0
2020-09-16,1470,1560959400.0
2020-09-17,1470,1543806000.0
2020-09-18,1470,1535229300.0
2020-09-21,1470,1526652600.0
2020-09-22,1470,1535229300.0
2020-09-23,1470,0.0
2020-09-24,1470,1500922500.0
2020-09-25,1470,1509499200.0
2020-09-28,1470,1513787550.0
2020-09-29,1470,1526652600.0
2020-09-30,1470,0.0
2020-10-05,1470,1526652600.0
2020-10-06,1470,1543806000.0
2020-10-07,1470,0.0
2020-10-08,1470,1543806000.0
2020-10-12,1470,1548094350.0
2020-10-13,1470,1543806000.0
2020-10-14,1470,1539517650.0
2020-10-15,1470,1543806000.0
2020-10-16,1470,1556671050.0
2020-10-19,1470,1569536100.0
2020-10-20,1470,0.0
2020-10-21,1470,1569536100.0
2020-10-22,1470,1578112800.0
2020-10-23,1470,1578112800.0
2020-10-26,1470,0.0
2020-10-27,1470,1595266200.0
2020-10-28,1470,0.0
2020-10-29,1470,0.0
2020-10-30,1470,0.0
2020-11-02,1470,1552382700.0
2020-11-03,1470,1526652600.0
2020-11-04,1470,0.0
2020-11-05,1470,1513787550.0
2020-11-06,1470,0.0
2020-11-09,1470,0.0
2020-11-10,1470,0.0
2020-11-11,1470,1552382700.0
2020-11-12,1470,1543806000.0
2020-11-13,1470,1560959400.0
2020-11-16,1470,1560959400.0
2020-11-17,1470,1560959400.0
2020-11-18,1470,1539517650.0
2020-11-19,1470,0.0
2020-11-20,1470,1539517650.0
2020-11-23,1470,1526652600.0
2020-11-24,1470,1518075900.0
2020-11-25,1470,0.0
2020-11-26,1470,1560959400.0
2020-11-27,1470,1526652600.0
2020-11-30,1470,1543806000.0
2020-12-01,1470,1548094350.0
2020-12-02,1470,0.0
2020-12-03,1470,0.0
2020-12-04,1470,1543806000.0
2020-12-07,1470,0.0
2020-12-08,1470,0.0
2020-12-09,1470,1535229300.0
2020-12-10,1470,0.0
2020-12-11,1470,1522364250.0
2020-12-14,1470,0.0
2020-12-15,1470,0.0
2020-12-16,1470,1543806000.0
2020-12-17,1470,1569536100.0
2020-12-18,1470,1578112800.0
2020-12-21,1470,1569536100.0
2020-12-22,1470,1569536100.0
2020-12-23,1470,1569536100.0
2020-12-24,1470,1569536100.0
2020-12-25,1470,1543806000.0
2020-12-28,1470,1552382700.0
2020-12-29,1470,1569536100.0
2020-12-30,1470,1569536100.0
2020-12-31,1470,1552382700.0
2021-01-04,1470,1556671050.0
2021-01-05,1470,1565247750.0
2021-01-06,1470,1560959400.0
2021-01-07,1470,1565247750.0
2021-01-08,1470,1552382700.0
2021-01-11,1470,1548094350.0
2021-01-12,1470,1560959400.0
2021-01-13,1470,1569536100.0
2021-01-14,1470,1535229300.0
2021-01-15,1470,1526652600.0
2021-01-18,1470,1522364250.0
2021-01-19,1470,0.0
2021-01-20,1470,1505210850.0
2021-01-21,1470,1475192400.0
2021-01-22,1470,1500922500.0
2021-01-25,1470,0.0
2021-01-26,1470,1483769100.0
2021-01-27,1470,1509499200.0
2021-01-28,1470,1492345800.0
2021-01-29,1470,1492345800.0
2021-02-01,1470,0.0
2021-02-02,1470,1488057450.0
2021-02-03,1470,1513787550.0
2021-02-05,1470,1488057450.0
2021-02-17,1470,1526652600.0
2021-02-18,1470,1569536100.0
2021-02-19,1470,0.0
2021-02-22,1470,1560959400.0
2021-02-23,1470,1565247750.0
2021-02-24,1470,1543806000.0
2021-02-25,1470,1543806000.0
2021-02-26,1470,1552382700.0
2021-03-02,1470,1573824450.0
2021-03-03,1470,1548094350.0
2021-03-04,1470,1569536100.0
2021-03-05,1470,1560959400.0
2021-03-08,1470,1548094350.0
2021-03-09,1470,1548094350.0
2021-03-10,1470,1548094350.0
2021-03-11,1470,1573824450.0
2021-03-12,1470,0.0
2021-03-15,1470,0.0
2021-03-16,1470,1565247750.0
2021-03-17,1470,1552382700.0
2021-03-18,1470,0.0
2021-03-19,1470,1526652600.0
2021-03-22,1470,1530940950.0
2021-03-23,1470,0.0
2021-03-24,1470,1543806000.0
2021-03-25,1470,1543806000.0
2021-03-26,1470,1535229300.0
2021-03-29,1470,1543806000.0
2021-03-30,1470,0.0
2021-03-31,1470,1560959400.0
2021-04-01,1470,0.0
2021-04-06,1470,1552382700.0
2021-04-07,1470,1543806000.0
2021-04-08,1470,1560959400.0
2021-04-09,1470,1560959400.0
2021-04-12,1470,1552382700.0
2021-04-13,1470,1543806000.0
2021-04-14,1470,1548094350.0
2021-04-15,1470,1543806000.0
2021-04-16,1470,1543806000.0
2021-04-19,1470,1552382700.0
2021-04-20,1470,1556671050.0
2021-04-21,1470,1543806000.0
2021-04-22,1470,1556671050.0
2021-04-23,1470,1535229300.0
2021-04-26,1470,1539517650.0
2021-04-28,1470,1548094350.0
2021-04-29,1470,1556671050.0
2021-05-03,1470,1552382700.0
2021-05-04,1470,1556671050.0
2021-05-05,1470,1556671050.0
2021-05-06,1470,1543806000.0
2021-05-07,1470,1552382700.0
2021-05-10,1470,1556671050.0
2021-05-11,1470,1548094350.0
2021-05-12,1470,1543806000.0
2021-05-13,1470,1466615700.0
2021-05-14,1470,1436597250.0
2021-05-17,1470,1359406950.0
2021-05-18,1470,1372272000.0
2021-05-19,1470,1329388500.0
2021-05-20,1470,1337965200.0
2021-05-21,1470,1372272000.0
2021-05-24,1470,1333676850.0
2021-05-25,1470,1342253550.0
2021-05-26,1470,1367983650.0
2021-05-27,1470,1359406950.0
2021-05-28,1470,1376560350.0
2021-05-31,1470,1363695300.0
2021-06-01,1470,1372272000.0
2021-06-02,1470,1393713750.0
2021-06-03,1470,1428020550.0
2021-06-04,1470,1398002100.0
2021-06-07,1470,1380848700.0
2021-06-08,1470,1389425400.0
2021-06-09,1470,1367983650.0
2021-06-10,1470,1367983650.0
2021-06-11,1470,1389425400.0
2021-06-15,1470,1367983650.0
2021-06-16,1470,1389425400.0
2021-06-17,1470,1389425400.0
2021-06-18,1470,1393713750.0
2021-06-21,1470,1372272000.0
2021-06-22,1470,0.0
2021-06-23,1470,1372272000.0
2021-06-24,1470,1376560350.0
2021-06-25,1470,1389425400.0
2021-06-28,1470,1402290450.0
2021-06-29,1470,1389425400.0
2021-06-30,1470,1393713750.0
2021-07-01,1470,1389425400.0
2021-07-02,1470,1385137050.0
2021-07-05,1470,1380848700.0
2021-07-06,1470,1380848700.0
2021-07-07,1470,1393713750.0
2021-07-08,1470,1415155500.0
2021-07-09,1470,1423732200.0
2021-07-12,1470,1432308900.0
2021-07-13,1470,1415155500.0
2021-07-14,1470,1419443850.0
2021-07-15,1470,1415155500.0
2021-07-16,1470,1410867150.0
2021-07-19,1470,1402290450.0
2021-07-20,1470,1376560350.0
2021-07-21,1470,1389425400.0
2021-07-22,1470,1389425400.0
2021-07-23,1470,1385137050.0
2021-07-26,1470,1402290450.0
2021-07-27,1470,1389425400.0
2021-07-28,1470,1389425400.0
2021-07-29,1470,1410867150.0
2021-07-30,1470,1419443850.0
2021-08-02,1470,1419443850.0
2021-08-03,1470,1398002100.0
2021-08-04,1470,1398002100.0
2021-08-05,1470,1380848700.0
2021-08-06,1470,1406578800.0
2021-08-09,1470,1385137050.0
2021-08-10,1470,0.0
2021-08-11,1470,1372272000.0
2021-08-12,1470,1376560350.0
2021-08-13,1470,1376560350.0
2021-08-16,1470,1363695300.0
2021-08-17,1470,1346541900.0
2021-08-18,1470,1406578800.0
2021-08-19,1470,1402290450.0
2021-08-20,1470,0.0
2021-08-23,1470,1419443850.0
2021-08-24,1470,1398002100.0
2021-08-25,1470,1423732200.0
2021-08-26,1470,1415155500.0
2021-08-27,1470,1475192400.0
2021-08-30,1470,1505210850.0
2021-08-31,1470,1445173950.0
2021-09-01,1470,1466615700.0
2021-09-02,1470,1483769100.0
2021-09-03,1470,1500922500.0
2021-09-06,1470,1518075900.0
2021-09-07,1470,1518075900.0
2021-09-08,1470,1496634150.0
2021-09-09,1470,1496634150.0
2021-09-10,1470,1500922500.0
2021-09-13,1470,1526652600.0
2021-09-14,1470,0.0
2021-09-15,1470,0.0
2021-09-16,1470,1526652600.0
2021-09-17,1470,1509499200.0
2021-09-22,1470,1526652600.0
2021-09-24,1470,1518075900.0
2021-09-27,1470,1518075900.0
2021-09-28,1470,1500922500.0
2021-09-29,1470,0.0
2021-09-30,1470,1509499200.0
2021-10-01,1470,1483769100.0
2021-10-04,1470,1466615700.0
2021-10-05,1470,1466615700.0
2021-10-06,1470,1505210850.0
2021-10-07,1470,1522364250.0
2021-10-08,1470,1612419600.0
2021-10-12,1470,1629573000.0
2021-10-13,1470,1586689500.0
2021-10-14,1470,1548094350.0
2021-10-15,1470,1552382700.0
2021-10-18,1470,1552382700.0
2021-10-19,1470,1539517650.0
2021-10-20,1470,1539517650.0
2021-10-21,1470,1548094350.0
2021-10-22,1470,1552382700.0
2021-10-25,1470,1548094350.0
2021-10-26,1470,1560959400.0
2021-10-27,1470,1548094350.0
2021-10-28,1470,0.0
2021-10-29,1470,1560959400.0
2021-11-01,1470,1565247750.0
2021-11-02,1470,1560959400.0
2021-11-03,1470,1586689500.0
2021-11-04,1470,1586689500.0
2021-11-05,1470,1595266200.0
2021-11-08,1470,1590977850.0
2021-11-09,1470,1565247750.0
2021-11-10,1470,1543806000.0
2021-11-11,1470,1543806000.0
2021-11-12,1470,1539517650.0
2021-11-15,1470,1543806000.0
2021-11-16,1470,1560959400.0
2021-11-17,1470,1530940950.0
2021-11-18,1470,1543806000.0
2021-11-19,1470,0.0
2021-11-22,1470,1573824450.0
2021-11-23,1470,1560959400.0
2021-11-24,1470,1530940950.0
2021-11-25,1470,1543806000.0
2021-11-26,1470,0.0
2021-11-29,1470,1530940950.0
2021-11-30,1470,1535229300.0
2021-12-01,1470,1543806000.0
2021-12-02,1470,1548094350.0
2021-12-03,1470,1543806000.0
2021-12-06,1470,1543806000.0
2021-12-07,1470,1569536100.0
2021-12-08,1470,1599554550.0
2021-12-09,1470,1603842900.0
2021-12-10,1470,1552382700.0
2021-12-13,1470,0.0
2021-12-14,1470,1539517650.0
2021-12-15,1470,1535229300.0
2021-12-16,1470,0.0
2021-12-17,1470,1548094350.0
2021-12-20,1470,1530940950.0
2021-12-21,1470,1518075900.0
2021-12-22,1470,1560959400.0
2021-12-23,1470,1548094350.0
2021-12-24,1470,1539517650.0
2021-12-27,1470,1539517650.0
2021-12-28,1470,0.0
2021-12-29,1470,1539517650.0
2021-12-30,1470,1522364250.0
2022-01-03,1470,1522364250.0
2022-01-04,1470,0.0
2022-01-05,1470,1526652600.0
2022-01-06,1470,1526652600.0
2022-01-07,1470,1522364250.0
2022-01-10,1470,0.0
2022-01-11,1470,1518075900.0
2022-01-12,1470,1522364250.0
2022-01-13,1470,1535229300.0
2022-01-14,1470,1475192400.0
2022-01-17,1470,1513787550.0
2022-01-18,1470,1530940950.0
2022-01-19,1470,1518075900.0
2022-01-20,1470,1518075900.0
2022-01-21,1470,1509499200.0
2022-01-24,1470,1496634150.0
2022-01-25,1470,1419443850.0
2022-01-26,1470,1449462300.0
2022-02-07,1470,1505210850.0
2022-02-08,1470,1535229300.0
2022-02-09,1470,1543806000.0
2022-02-10,1470,1590977850.0
2022-02-11,1470,1603842900.0
2022-02-14,1470,1582401150.0
2022-02-15,1470,1526652600.0
2022-02-16,1470,1539517650.0
2022-02-17,1470,1560959400.0
2022-02-18,1470,0.0
2022-02-21,1470,1535229300.0
2022-02-22,1470,1530940950.0
2022-02-23,1470,1681033200.0
2022-02-24,1470,1753935150.0
2022-02-25,1470,1646726400.0
2022-03-01,1470,1663879800.0
2022-03-02,1470,1698186600.0
2022-03-03,1470,1741070100.0
2022-03-04,1470,1706763300.0
2022-03-07,1470,1753935150.0
2022-03-08,1470,1681033200.0
2022-03-09,1470,1702474950.0
2022-03-10,1470,1741070100.0
2022-03-11,1470,1848278850.0
2022-03-14,1470,1813972050.0
2022-03-15,1470,1801107000.0
2022-03-16,1470,1852567200.0
2022-03-17,1470,1912604100.0
2022-03-18,1470,2032677900.0
2022-03-21,1470,2092714800.0
2022-03-22,1470,2049831300.0
2022-03-23,1470,2079849750.0
2022-03-24,1470,2041254600.0
2022-03-25,1470,2024101200.0
2022-03-28,1470,2122733250.0
2022-03-29,1470,1912604100.0
2022-03-30,1470,1882585650.0
2022-03-31,1470,1904027400.0
2022-04-01,1470,0.0
2022-04-06,1470,1801107000.0
2022-04-07,1470,1753935150.0
2022-04-08,1470,1779665250.0
2022-04-11,1470,1955487600.0
2022-04-12,1470,2148463350.0
2022-04-13,1470,1959775950.0
2022-04-14,1470,1904027400.0
2022-04-15,1470,1886874000.0
2022-04-18,1470,1835413800.0
2022-04-19,1470,2015524500.0
2022-04-20,1470,2217076950.0
2022-04-21,1470,2435782800.0
2022-04-22,1470,2440071150.0
2022-04-25,1470,2607316800.0
2022-04-26,1470,2350015800.0
2022-04-27,1470,2118444900.0
2022-04-28,1470,2041254600.0
2022-04-29,1470,2242807050.0
2022-05-03,1470,2465801250.0
2022-05-04,1470,2315709000.0
2022-05-05,1470,2547279900.0
2022-05-06,1470,2315709000.0
2022-05-09,1470,2242807050.0
2022-05-10,1470,2221365300.0
2022-05-11,1470,2075561400.0
2022-05-12,1470,2024101200.0
2022-05-13,1470,1964064300.0
2022-05-16,1470,2157040050.0
2022-05-17,1470,2101291500.0
2022-05-18,1470,2045542950.0
2022-05-19,1470,2152751700.0
2022-05-20,1470,2092714800.0
2022-05-23,1470,2058408000.0
2022-05-24,1470,2015524500.0
2022-05-25,1470,2032677900.0
2022-05-26,1470,2049831300.0
2022-05-27,1470,2084138100.0
2022-05-30,1470,2195635200.0
2022-05-31,1470,2187058500.0
2022-06-01,1470,2229942000.0
2022-06-02,1470,2135598300.0
2022-06-06,1470,2066984700.0
2022-06-07,1470,2015524500.0
2022-06-08,1470,2041254600.0
2022-06-09,1470,2028389550.0
2022-06-10,1470,1981217700.0
2022-06-13,1470,1895450700.0
2022-06-14,1470,1852567200.0
2022-06-15,1470,1916892450.0
2022-06-16,1470,1805395350.0
2022-06-17,1470,1805395350.0
2022-06-20,1470,1758223500.0
2022-06-21,1470,1796818650.0
2022-06-22,1470,1805395350.0
2022-06-23,1470,1676744850.0
2022-06-24,1470,1843990500.0
2022-06-27,1470,2028389550.0
2022-06-28,1470,1946910900.0
2022-06-29,1470,1904027400.0
2022-07-01,1470,1792530300.0
2022-07-04,1470,1835413800.0
2022-07-05,1470,1835413800.0
2022-07-06,1470,1766800200.0
2022-07-07,1470,1792530300.0
2022-07-08,1470,1749646800.0
2022-07-11,1470,1775376900.0
2022-07-12,1470,1723916700.0
2022-07-13,1470,1663879800.0
2022-07-14,1470,1685321550.0
2022-07-15,1470,1715340000.0
2022-07-18,1470,1706763300.0
2022-07-19,1470,1715340000.0
2022-07-20,1470,1715340000.0
2022-07-21,1470,1689609900.0
2022-07-22,1470,1663879800.0
2022-07-25,1470,1715340000.0
2022-07-26,1470,1642438050.0
2022-07-27,1470,1668168150.0
2022-07-28,1470,1625284650.0
2022-07-29,1470,1638149700.0
2022-08-01,1470,1672456500.0
2022-08-02,1470,1651014750.0
2022-08-03,1470,1620996300.0
2022-08-04,1470,1612419600.0
2022-08-05,1470,1668168150.0
2022-08-08,1470,1646726400.0
2022-08-09,1470,1651014750.0
2022-08-10,1470,1638149700.0
2022-08-11,1470,1659591450.0
2022-08-12,1470,1676744850.0
2022-08-15,1470,1676744850.0
2022-08-16,1470,1612419600.0
2022-08-17,1470,1620996300.0
2022-08-18,1470,1638149700.0
2022-08-19,1470,1638149700.0
2022-08-22,1470,1629573000.0
2022-08-23,1470,1595266200.0
2022-08-24,1470,1612419600.0
2022-08-25,1470,1620996300.0
2022-08-26,1470,1689609900.0
2022-08-29,1470,1766800200.0
2022-08-30,1470,1749646800.0
2022-08-31,1470,1749646800.0
2022-09-01,1470,1719628350.0
2022-09-02,1470,1706763300.0
2022-09-05,1470,1698186600.0
2022-09-06,1470,1681033200.0
2022-09-07,1470,1625284650.0
2022-09-08,1470,1638149700.0
2022-09-12,1470,1689609900.0
2022-09-13,1470,1646726400.0
2022-09-14,1470,1629573000.0
2022-09-15,1470,1612419600.0
2022-09-16,1470,1603842900.0
2022-09-19,1470,1638149700.0
2022-09-20,1470,1646726400.0
2022-09-21,1470,1633861350.0
2022-09-22,1470,1590977850.0
2022-09-23,1470,1565247750.0
2022-09-26,1470,1535229300.0
2022-09-27,1470,1535229300.0
2022-09-28,1470,1518075900.0
2022-09-29,1470,1535229300.0
2022-09-30,1470,0.0
2022-10-03,1470,1560959400.0
